Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
699,PRETTY PORK FACTORY,3.77,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B700,"" "",""+""),""+"", SUBSTITUTE(F700,"" "",""+"")), ""Link"")","PORK SHABU SHABU, KOREAN",3500.0,9000.0,東京都新宿区歌舞伎町1-10-3 G3ビル 2F,SEIBU SHINJUKU,664,https://tabelog.com/en/tokyo/A1304/A130401/13254601/,"JPY 8,000～JPY 9,999","JPY 3,000～JPY 3,999",9000.0,5k-10k
711,KAGURAZAKA OOKAWAYA,3.77,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B712,"" "",""+""),""+"", SUBSTITUTE(F712,"" "",""+"")), ""Link"")","SOBA (BUCKWHEAT NOODLES), TEMPURA",2500.0,7000.0,東京都新宿区神楽坂6-25,KAGURAZAKA,368,https://tabelog.com/en/tokyo/A1309/A130905/13197727/,"JPY 6,000～JPY 7,999","JPY 2,000～JPY 2,999",7000.0,5k-10k
715,YAKITORI YAMAMOTO,3.77,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B716,"" "",""+""),""+"", SUBSTITUTE(F716,"" "",""+"")), ""Link"")",YAKITORI (GRILLED CHICKEN SKEWERS),,9000.0,東京都武蔵野市中町1-19-8 シティハイツ武蔵野 B1F,MITAKA,292,https://tabelog.com/en/tokyo/A1320/A132002/13187433/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
716,RENSHAN,3.77,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B717,"" "",""+""),""+"", SUBSTITUTE(F717,"" "",""+"")), ""Link"")",CHINESE,,9000.0,東京都港区白金4-1-7,SHIROKANE TAKANAWA,283,https://tabelog.com/en/tokyo/A1316/A131602/13190771/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
724,HOEI,3.77,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B725,"" "",""+""),""+"", SUBSTITUTE(F725,"" "",""+"")), ""Link"")","CHINESE, SICHUAN CUISINE, DANDAN NOODLES",5500.0,9000.0,東京都文京区本駒込3-1-8 COCOPLUS本駒込 1F,HON KOMAGOME,181,https://tabelog.com/en/tokyo/A1323/A132301/13276558/,"JPY 8,000～JPY 9,999","JPY 5,000～JPY 5,999",9000.0,5k-10k
737,TOKYO CHINESE ICHIRIN,3.76,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B738,"" "",""+""),""+"", SUBSTITUTE(F738,"" "",""+"")), ""Link"")","SICHUAN CUISINE, CHINESE, SEAFOOD",1500.0,9000.0,東京都中央区築地1-5-8 樋泉ビル 1F,SHINTOMICHO,1555,https://tabelog.com/en/tokyo/A1313/A131301/13153417/,"JPY 8,000～JPY 9,999","JPY 1,000～JPY 1,999",9000.0,5k-10k
758,RAMITHIE,3.76,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B759,"" "",""+""),""+"", SUBSTITUTE(F759,"" "",""+"")), ""Link"")","BISTRO, FRENCH",,7000.0,東京都新宿区高田馬場2-9-12 柴原ビル　１Ｆ,TAKADANOBABA,828,https://tabelog.com/en/tokyo/A1305/A130503/13004131/,"JPY 6,000～JPY 7,999",-,7000.0,5k-10k
761,UNAZEN,3.76,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B762,"" "",""+""),""+"", SUBSTITUTE(F762,"" "",""+"")), ""Link"")",UNAGI (EEL),5500.0,,東京都墨田区吾妻橋3-6-18,HONJO AZUMABASHI,807,https://tabelog.com/en/tokyo/A1312/A131203/13058979/,-,"JPY 5,000～JPY 5,999",5500.0,5k-10k
766,RISTORANTINO RUBERO,3.76,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B767,"" "",""+""),""+"", SUBSTITUTE(F767,"" "",""+"")), ""Link"")",ITALIAN,4500.0,9000.0,東京都品川区上大崎3-5-18,MEGURO,751,https://tabelog.com/en/tokyo/A1316/A131601/13045711/,"JPY 8,000～JPY 9,999","JPY 4,000～JPY 4,999",9000.0,5k-10k
799,SOBA OSAME,3.76,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B800,"" "",""+""),""+"", SUBSTITUTE(F800,"" "",""+"")), ""Link"")",SOBA (BUCKWHEAT NOODLES),5500.0,5500.0,東京都新宿区下落合3-21-5,MEJIRO,158,https://tabelog.com/en/tokyo/A1305/A130502/13283508/,"JPY 5,000～JPY 5,999","JPY 5,000～JPY 5,999",5500.0,5k-10k
829,NAMAIKI,3.75,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B830,"" "",""+""),""+"", SUBSTITUTE(F830,"" "",""+"")), ""Link"")","YAKINIKU (BBQ BEEF), HORUMON (BBQ OFFEL)",,9000.0,東京都千代田区外神田6-14-7 2F,SUEHIROCHO,1725,https://tabelog.com/en/tokyo/A1311/A131101/13165294/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
857,BURGER POLICE,3.75,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B858,"" "",""+""),""+"", SUBSTITUTE(F858,"" "",""+"")), ""Link"")","HAMBURGER, BISTRO, BARU (SPANISH STYLE BAR)",2500.0,5500.0,東京都目黒区碑文谷4-24-16 104,TORITSU DAIGAKU,751,https://tabelog.com/en/tokyo/A1317/A131702/13255370/,"JPY 5,000～JPY 5,999","JPY 2,000～JPY 2,999",5500.0,5k-10k
862,TORI YOSHI NAKAMEGUROHONTEN,3.75,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B863,"" "",""+""),""+"", SUBSTITUTE(F863,"" "",""+"")), ""Link"")","YAKITORI (GRILLED CHICKEN SKEWERS), CHICKEN DISHES",,9000.0,東京都目黒区上目黒2-8-6 谷島ビル　１Ｆ,NAKA MEGURO,654,https://tabelog.com/en/tokyo/A1317/A131701/13003200/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
